COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1480359,3955390,1949172,2006218,"103Y03M"
63000,臺北市,1027984,2690232,1291306,1398926,"103Y03M"
66000,臺中市,900230,2705064,1341024,1364040,"103Y03M"
67000,臺南市,663977,1883077,944234,938843,"103Y03M"
64000,高雄市,1057446,2778669,1384641,1394028,"103Y03M"
10002,宜蘭縣,161091,458427,232834,225593,"103Y03M"
10003,桃園縣,718936,2045811,1027246,1018565,"103Y03M"
10004,新竹縣,175569,531723,272429,259294,"103Y03M"
10005,苗栗縣,181264,565693,291930,273763,"103Y03M"
10007,彰化縣,376328,1294911,662781,632130,"103Y03M"
10008,南投縣,175527,516315,264985,251330,"103Y03M"
10009,雲林縣,236791,706958,368006,338952,"103Y03M"
10010,嘉義縣,180730,527721,274921,252800,"103Y03M"
10013,屏東縣,282306,851127,436452,414675,"103Y03M"
10014,臺東縣,81794,224675,116663,108012,"103Y03M"
10015,花蓮縣,123606,333639,170731,162908,"103Y03M"
10016,澎湖縣,37351,100812,51982,48830,"103Y03M"
10017,基隆市,149780,374428,188395,186033,"103Y03M"
10018,新竹市,152568,429212,212523,216689,"103Y03M"
10020,嘉義市,97712,271103,132703,138400,"103Y03M"
09020,金門縣,36803,122296,61423,60873,"103Y03M"
09007,連江縣,2408,12311,7015,5296,"103Y03M"
