COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1503844,3966052,1950254,2015798,"104Y06M"
63000,臺北市,1041379,2706030,1296639,1409391,"104Y06M"
68000,桃園市,742046,2086081,1044593,1041488,"104Y06M"
66000,臺中市,920195,2731500,1351793,1379707,"104Y06M"
67000,臺南市,670228,1885376,944116,941260,"104Y06M"
64000,高雄市,1069177,2778835,1381933,1396902,"104Y06M"
10002,宜蘭縣,163974,458313,232497,225816,"104Y06M"
10004,新竹縣,181120,539173,276045,263128,"104Y06M"
10005,苗栗縣,183736,565704,291471,274233,"104Y06M"
10007,彰化縣,380058,1289274,659194,630080,"104Y06M"
10008,南投縣,176609,511518,262429,249089,"104Y06M"
10009,雲林縣,238079,701898,365048,336850,"104Y06M"
10010,嘉義縣,181653,521591,271681,249910,"104Y06M"
10013,屏東縣,283712,843981,432531,411450,"104Y06M"
10014,臺東縣,82246,223189,115668,107521,"104Y06M"
10015,花蓮縣,124617,332424,169695,162729,"104Y06M"
10016,澎湖縣,37981,101753,52464,49289,"104Y06M"
10017,基隆市,150947,372787,187317,185470,"104Y06M"
10018,新竹市,156266,432860,214222,218638,"104Y06M"
10020,嘉義市,98628,270896,132270,138626,"104Y06M"
09020,金門縣,38082,129831,65071,64760,"104Y06M"
09007,連江縣,2498,12496,7136,5360,"104Y06M"
