COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1437026,3920761,1940522,1980239,"101Y03M"
63000,臺北市,1002545,2656512,1278723,1377789,"101Y03M"
66000,臺中市,871092,2668799,1326578,1342221,"101Y03M"
67000,臺南市,649966,1877778,943967,933811,"101Y03M"
64000,高雄市,1037078,2774586,1387840,1386746,"101Y03M"
10002,宜蘭縣,156685,458611,233442,225169,"101Y03M"
10003,桃園縣,688896,2015933,1014692,1001241,"101Y03M"
10004,新竹縣,166438,518831,266375,252456,"101Y03M"
10005,苗栗縣,175896,562259,291164,271095,"101Y03M"
10007,彰化縣,368464,1301506,667019,634487,"101Y03M"
10008,南投縣,172674,521902,268467,253435,"101Y03M"
10009,雲林縣,232295,712747,371785,340962,"101Y03M"
10010,嘉義縣,178219,536373,279616,256757,"101Y03M"
10013,屏東縣,279184,862946,443253,419693,"101Y03M"
10014,臺東縣,80911,227772,118930,108842,"101Y03M"
10015,花蓮縣,121980,336485,172936,163549,"101Y03M"
10016,澎湖縣,35284,97452,50060,47392,"101Y03M"
10017,基隆市,148007,379021,190875,188146,"101Y03M"
10018,新竹市,146232,421041,208860,212181,"101Y03M"
10020,嘉義市,96167,271464,133381,138083,"101Y03M"
09020,金門縣,34193,106358,53813,52545,"101Y03M"
09007,連江縣,2201,10131,5823,4308,"101Y03M"
