COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1443851,3926188,1942318,1983870,"101Y06M"
63000,臺北市,1007687,2663263,1281370,1381893,"101Y06M"
66000,臺中市,875159,2674359,1328771,1345588,"101Y06M"
67000,臺南市,651898,1878795,944219,934576,"101Y06M"
64000,高雄市,1039797,2775482,1387701,1387781,"101Y06M"
10002,宜蘭縣,157379,458616,233390,225226,"101Y06M"
10003,桃園縣,692509,2020103,1016488,1003615,"101Y06M"
10004,新竹縣,167603,520234,267028,253206,"101Y06M"
10005,苗栗縣,176682,562684,291269,271415,"101Y06M"
10007,彰化縣,369488,1300618,666430,634188,"101Y06M"
10008,南投縣,173262,521218,267983,253235,"101Y06M"
10009,雲林縣,233120,711887,371212,340675,"101Y06M"
10010,嘉義縣,178627,535045,278912,256133,"101Y06M"
10013,屏東縣,279610,861373,442423,418950,"101Y06M"
10014,臺東縣,80981,227194,118499,108695,"101Y06M"
10015,花蓮縣,122228,336020,172668,163352,"101Y06M"
10016,澎湖縣,35395,97724,50205,47519,"101Y06M"
10017,基隆市,148277,378301,190523,187778,"101Y06M"
10018,新竹市,147214,422554,209551,213003,"101Y06M"
10020,嘉義市,96556,271689,133447,138242,"101Y06M"
09020,金門縣,34534,108147,54633,53514,"101Y06M"
09007,連江縣,2216,10253,5867,4386,"101Y06M"
