COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,169424,455592,230277,225315,"107Y09M"
10015,花蓮縣,126084,328444,166538,161906,"107Y09M"
09020,金門縣,40442,138724,69248,69476,"107Y09M"
10008,南投縣,178309,498117,255081,243036,"107Y09M"
10013,屏東縣,287807,827051,422504,404547,"107Y09M"
10005,苗栗縣,189108,550085,283885,266200,"107Y09M"
68000,桃園市,804716,2213379,1100862,1112517,"107Y09M"
64000,高雄市,1098983,2772820,1372006,1400814,"107Y09M"
10017,基隆市,153685,370368,185140,185228,"107Y09M"
09007,連江縣,3021,13058,7462,5596,"107Y09M"
10009,雲林縣,241125,687646,356423,331223,"107Y09M"
65000,新北市,1559432,3991411,1953636,2037775,"107Y09M"
10018,新竹市,165221,444406,219235,225171,"107Y09M"
10004,新竹縣,194570,556056,284039,272017,"107Y09M"
10020,嘉義市,99979,268699,130464,138235,"107Y09M"
10010,嘉義縣,183216,508038,264026,244012,"107Y09M"
10007,彰化縣,389250,1278311,651137,627174,"107Y09M"
66000,臺中市,969943,2797874,1377838,1420036,"107Y09M"
63000,臺北市,1056715,2669639,1274341,1395298,"107Y09M"
10014,臺東縣,82988,219342,113127,106215,"107Y09M"
67000,臺南市,688535,1884036,940312,943724,"107Y09M"
10016,澎湖縣,40444,104392,53766,50626,"107Y09M"
