COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,167742,457106,231387,225719,"106Y06M"
10015,花蓮縣,125621,329976,167749,162227,"106Y06M"
09020,金門縣,39596,135563,67720,67843,"106Y06M"
10008,南投縣,177729,503261,257890,245371,"106Y06M"
10013,屏東縣,286320,832489,425970,406519,"106Y06M"
10005,苗栗縣,186749,556324,287015,269309,"106Y06M"
68000,桃園市,779743,2167616,1080489,1087127,"106Y06M"
64000,高雄市,1087007,2778023,1377216,1400807,"106Y06M"
10017,基隆市,152390,371876,186221,185655,"106Y06M"
09007,連江縣,2768,12716,7244,5472,"106Y06M"
10009,雲林縣,239882,692570,359510,333060,"106Y06M"
65000,新北市,1533928,3982434,1952479,2029955,"106Y06M"
10018,新竹市,161811,439299,217034,222265,"106Y06M"
10004,新竹縣,189271,549580,280952,268628,"106Y06M"
10020,嘉義市,99226,269717,131236,138481,"106Y06M"
10010,嘉義縣,182646,513082,266990,246092,"106Y06M"
10007,彰化縣,385572,1284423,655100,629323,"106Y06M"
66000,臺中市,951383,2776579,1369969,1406610,"106Y06M"
63000,臺北市,1049354,2689845,1285810,1404035,"106Y06M"
10014,臺東縣,82755,220083,113739,106344,"106Y06M"
67000,臺南市,680737,1886502,942629,943873,"106Y06M"
10016,澎湖縣,39321,103406,53283,50123,"106Y06M"
