COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,169511,455221,230027,225194,"107Y12M"
10015,花蓮縣,126222,327968,166258,161710,"107Y12M"
09020,金門縣,40616,139273,69494,69779,"107Y12M"
10008,南投縣,178260,497031,254549,242482,"107Y12M"
10013,屏東縣,287915,825406,421534,403872,"107Y12M"
10005,苗栗縣,189324,548863,283174,265689,"107Y12M"
68000,桃園市,807471,2220872,1104073,1116799,"107Y12M"
64000,高雄市,1099955,2773533,1371957,1401576,"107Y12M"
10017,基隆市,153580,370155,184978,185177,"107Y12M"
09007,連江縣,3060,13056,7448,5608,"107Y12M"
10009,雲林縣,241047,686022,355578,330444,"107Y12M"
65000,新北市,1562037,3995717,1954968,2040749,"107Y12M"
10018,新竹市,165639,445635,219846,225789,"107Y12M"
10004,新竹縣,195271,557010,284385,272625,"107Y12M"
10020,嘉義市,99925,268622,130416,138206,"107Y12M"
10010,嘉義縣,183224,507068,263451,243617,"107Y12M"
10007,彰化縣,389666,1277824,650677,627147,"107Y12M"
66000,臺中市,972652,2803894,1380106,1423788,"107Y12M"
63000,臺北市,1056233,2668572,1273375,1395197,"107Y12M"
10014,臺東縣,83037,218919,112845,106074,"107Y12M"
67000,臺南市,689258,1883831,939967,943864,"107Y12M"
10016,澎湖縣,40574,104440,53807,50633,"107Y12M"
