COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1486716,3956728,1948833,2007895,"103Y06M"
63000,臺北市,1031465,2693672,1292391,1401281,"103Y06M"
66000,臺中市,904183,2708338,1342099,1366239,"103Y06M"
67000,臺南市,665443,1883042,943920,939122,"103Y06M"
64000,高雄市,1059475,2777296,1383480,1393816,"103Y06M"
10002,宜蘭縣,161730,458771,232897,225874,"103Y06M"
10003,桃園縣,723763,2049009,1028597,1020412,"103Y06M"
10004,新竹縣,176832,533851,273516,260335,"103Y06M"
10005,苗栗縣,181983,566446,292156,274290,"103Y06M"
10007,彰化縣,377149,1293530,661946,631584,"103Y06M"
10008,南投縣,175808,515784,264687,251097,"103Y06M"
10009,雲林縣,237254,707282,368099,339183,"103Y06M"
10010,嘉義縣,180933,526936,274525,252411,"103Y06M"
10013,屏東縣,282596,850527,436005,414522,"103Y06M"
10014,臺東縣,81951,225041,116827,108214,"103Y06M"
10015,花蓮縣,123835,333630,170658,162972,"103Y06M"
10016,澎湖縣,37401,101112,52084,49028,"103Y06M"
10017,基隆市,150053,373786,188027,185759,"103Y06M"
10018,新竹市,153558,430041,212908,217133,"103Y06M"
10020,嘉義市,97872,270841,132453,138388,"103Y06M"
09020,金門縣,37167,123947,62267,61680,"103Y06M"
09007,連江縣,2456,12426,7103,5323,"103Y06M"
