COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,167232,457205,231495,225710,"106Y03M"
10015,花蓮縣,125473,330484,168045,162439,"106Y03M"
09020,金門縣,39407,135342,67643,67699,"106Y03M"
10008,南投縣,177521,504098,258365,245733,"106Y03M"
10013,屏東縣,286056,834191,426839,407352,"106Y03M"
10005,苗栗縣,186182,557741,287715,270026,"106Y03M"
68000,桃園市,774809,2156999,1075714,1081285,"106Y03M"
64000,高雄市,1084777,2778726,1378142,1400584,"106Y03M"
10017,基隆市,152116,371973,186382,185591,"106Y03M"
09007,連江縣,2717,12678,7225,5453,"106Y03M"
10009,雲林縣,239635,693525,360118,333407,"106Y03M"
65000,新北市,1529672,3980414,1952161,2028253,"106Y03M"
10018,新竹市,161044,438322,216616,221706,"106Y03M"
10004,新竹縣,188212,548418,280483,267935,"106Y03M"
10020,嘉義市,99081,269938,131390,138548,"106Y03M"
10010,嘉義縣,182517,514134,267511,246623,"106Y03M"
10007,彰化縣,385086,1285885,655930,629955,"106Y03M"
66000,臺中市,947726,2772118,1368268,1403850,"106Y03M"
63000,臺北市,1048003,2693313,1287959,1405354,"106Y03M"
10014,臺東縣,82657,220465,113979,106486,"106Y03M"
67000,臺南市,679301,1886368,942871,943497,"106Y03M"
10016,澎湖縣,39385,103343,53217,50126,"106Y03M"
