COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,170705,454345,229398,224947,"108Y09M"
10015,花蓮縣,126663,326576,165299,161277,"108Y09M"
09020,金門縣,41142,139987,69898,70089,"108Y09M"
10008,南投縣,179094,494692,253070,241622,"108Y09M"
10013,屏東縣,289758,820155,418451,401704,"108Y09M"
10005,苗栗縣,190991,546093,281654,264439,"108Y09M"
68000,桃園市,823478,2242685,1113495,1129190,"108Y09M"
64000,高雄市,1109752,2773199,1370283,1402916,"108Y09M"
10017,基隆市,154544,369132,184268,184864,"108Y09M"
09007,連江縣,3173,13060,7470,5590,"108Y09M"
10009,雲林縣,242112,682066,353304,328762,"108Y09M"
65000,新北市,1581295,4012918,1961380,2051538,"108Y09M"
10018,新竹市,167911,447952,220885,227067,"108Y09M"
10004,新竹縣,199872,562674,287222,275452,"108Y09M"
10020,嘉義市,100573,267863,129955,137908,"108Y09M"
10010,嘉義縣,183727,503773,261582,242191,"108Y09M"
10007,彰化縣,392507,1273130,647867,625263,"108Y09M"
66000,臺中市,985019,2812507,1383136,1429371,"108Y09M"
63000,臺北市,1061362,2647164,1261548,1385616,"108Y09M"
10014,臺東縣,83264,217166,111841,105325,"108Y09M"
67000,臺南市,695895,1881494,937949,943545,"108Y09M"
10016,澎湖縣,41482,105152,54272,50880,"108Y09M"
