COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1458292,3939305,1946607,1992698,"101Y12M"
63000,臺北市,1017063,2673226,1285361,1387865,"101Y12M"
66000,臺中市,883302,2684893,1333194,1351699,"101Y12M"
67000,臺南市,656402,1881645,945004,936641,"101Y12M"
64000,高雄市,1046588,2778659,1387931,1390728,"101Y12M"
10002,宜蘭縣,159031,458595,233276,225319,"101Y12M"
10003,桃園縣,701827,2030161,1020819,1009342,"101Y12M"
10004,新竹縣,170476,523993,268829,255164,"101Y12M"
10005,苗栗縣,178404,563976,291598,272378,"101Y12M"
10007,彰化縣,372303,1299868,665895,633973,"101Y12M"
10008,南投縣,174398,520196,267300,252896,"101Y12M"
10009,雲林縣,235001,710991,370508,340483,"101Y12M"
10010,嘉義縣,179676,533723,278219,255504,"101Y12M"
10013,屏東縣,280934,858441,440761,417680,"101Y12M"
10014,臺東縣,81342,226252,117808,108444,"101Y12M"
10015,花蓮縣,122651,335190,172064,163126,"101Y12M"
10016,澎湖縣,36171,98843,50817,48026,"101Y12M"
10017,基隆市,148805,377153,189951,187202,"101Y12M"
10018,新竹市,149056,425071,210777,214294,"101Y12M"
10020,嘉義市,97018,271220,133090,138130,"101Y12M"
09020,金門縣,35374,113111,57062,56049,"101Y12M"
09007,連江縣,2318,11310,6448,4862,"101Y12M"
