COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1465941,3945789,1947525,1998264,"102Y06M"
63000,臺北市,1021435,2681554,1288596,1392958,"102Y06M"
66000,臺中市,889989,2693892,1336717,1357175,"102Y06M"
67000,臺南市,659561,1882526,944883,937643,"102Y06M"
64000,高雄市,1050752,2779092,1386830,1392262,"102Y06M"
10002,宜蘭縣,159807,458602,233198,225404,"102Y06M"
10003,桃園縣,708149,2036708,1023601,1013107,"102Y06M"
10004,新竹縣,172418,526920,270157,256763,"102Y06M"
10005,苗栗縣,179484,564647,291688,272959,"102Y06M"
10007,彰化縣,373945,1297968,664800,633168,"102Y06M"
10008,南投縣,174926,518738,266428,252310,"102Y06M"
10009,雲林縣,235810,709491,369598,339893,"102Y06M"
10010,嘉義縣,180202,531026,276781,254245,"102Y06M"
10013,屏東縣,281553,855345,438844,416501,"102Y06M"
10014,臺東縣,81482,225407,117309,108098,"102Y06M"
10015,花蓮縣,123004,334468,171503,162965,"102Y06M"
10016,澎湖縣,36364,99276,51054,48222,"102Y06M"
10017,基隆市,149091,376082,189295,186787,"102Y06M"
10018,新竹市,150366,427050,211594,215456,"102Y06M"
10020,嘉義市,97361,271291,133001,138290,"102Y06M"
09020,金門縣,36046,116570,58775,57795,"102Y06M"
09007,連江縣,2378,11771,6682,5089,"102Y06M"
