COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,168959,456006,230545,225461,"107Y06M"
10015,花蓮縣,125851,328749,166743,162006,"107Y06M"
09020,金門縣,40250,137837,68909,68928,"107Y06M"
10008,南投縣,178155,499194,255685,243509,"107Y06M"
10013,屏東縣,287294,828275,423325,404950,"107Y06M"
10005,苗栗縣,188522,551082,284434,266648,"107Y06M"
68000,桃園市,798391,2204824,1097086,1107738,"107Y06M"
64000,高雄市,1095318,2773932,1373055,1400877,"107Y06M"
10017,基隆市,153191,370795,185428,185367,"107Y06M"
09007,連江縣,2986,13044,7455,5589,"107Y06M"
10009,雲林縣,240634,688717,357103,331614,"107Y06M"
65000,新北市,1551017,3987520,1952383,2035137,"107Y06M"
10018,新竹市,164283,443351,218722,224629,"107Y06M"
10004,新竹縣,192993,554541,283256,271285,"107Y06M"
10020,嘉義市,99737,268951,130663,138288,"107Y06M"
10010,嘉義縣,182905,509161,264652,244509,"107Y06M"
10007,彰化縣,388042,1279276,651800,627476,"107Y06M"
66000,臺中市,965455,2794933,1376790,1418143,"107Y06M"
63000,臺北市,1053741,2675713,1277544,1398169,"107Y06M"
10014,臺東縣,82896,219643,113304,106339,"107Y06M"
67000,臺南市,685873,1884717,940901,943816,"107Y06M"
10016,澎湖縣,39883,104013,53579,50434,"107Y06M"
