COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,168589,456607,230976,225631,"106Y12M"
10015,花蓮縣,125936,329237,167179,162058,"106Y12M"
09020,金門縣,39923,137456,68722,68734,"106Y12M"
10008,南投縣,178012,501051,256732,244319,"106Y12M"
10013,屏東縣,286844,829939,424486,405453,"106Y12M"
10005,苗栗縣,187846,553807,285844,267963,"106Y12M"
68000,桃園市,790376,2188017,1089619,1098398,"106Y12M"
64000,高雄市,1092219,2776912,1375515,1401397,"106Y12M"
10017,基隆市,152781,371458,185870,185588,"106Y12M"
09007,連江縣,2854,12880,7349,5531,"106Y12M"
10009,雲林縣,240290,690373,358179,332194,"106Y12M"
65000,新北市,1543098,3986689,1953397,2033292,"106Y12M"
10018,新竹市,163130,441132,217831,223301,"106Y12M"
10004,新竹縣,191171,552169,282073,270096,"106Y12M"
10020,嘉義市,99476,269398,130974,138424,"106Y12M"
10010,嘉義縣,182890,511182,265882,245300,"106Y12M"
10007,彰化縣,387166,1282458,653646,628812,"106Y12M"
66000,臺中市,959023,2787070,1374085,1412985,"106Y12M"
63000,臺北市,1050755,2683257,1281917,1401340,"106Y12M"
10014,臺東縣,82869,219540,113378,106162,"106Y12M"
67000,臺南市,683814,1886522,942278,944244,"106Y12M"
10016,澎湖縣,39938,104073,53648,50425,"106Y12M"
