COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,168505,456851,231178,225673,"106Y09M"
10015,花蓮縣,125803,329531,167419,162112,"106Y09M"
09020,金門縣,39825,136812,68372,68440,"106Y09M"
10008,南投縣,178073,502095,257275,244820,"106Y09M"
10013,屏東縣,286776,831073,425131,405942,"106Y09M"
10005,苗栗縣,187565,555049,286412,268637,"106Y09M"
68000,桃園市,786938,2178458,1085409,1093049,"106Y09M"
64000,高雄市,1091278,2777021,1376232,1400789,"106Y09M"
10017,基隆市,152833,371758,186094,185664,"106Y09M"
09007,連江縣,2816,12766,7268,5498,"106Y09M"
10009,雲林縣,240378,691348,358825,332523,"106Y09M"
65000,新北市,1540500,3984975,1953080,2031895,"106Y09M"
10018,新竹市,162832,440098,217366,222732,"106Y09M"
10004,新竹縣,190656,551201,281675,269526,"106Y09M"
10020,嘉義市,99404,269338,131016,138322,"106Y09M"
10010,嘉義縣,182907,512064,266387,245677,"106Y09M"
10007,彰化縣,386830,1282991,654153,628838,"106Y09M"
66000,臺中市,956251,2781498,1371911,1409587,"106Y09M"
63000,臺北市,1050873,2682893,1282133,1400760,"106Y09M"
10014,臺東縣,82876,219716,113483,106233,"106Y09M"
67000,臺南市,683188,1886088,942212,943876,"106Y09M"
10016,澎湖縣,39815,103843,53526,50317,"106Y09M"
