COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1495243,3961374,1950031,2011343,"103Y09M"
63000,臺北市,1036877,2695649,1293032,1402617,"103Y09M"
66000,臺中市,910079,2712948,1344077,1368871,"103Y09M"
67000,臺南市,667772,1883493,943896,939597,"103Y09M"
64000,高雄市,1063794,2777461,1382862,1394599,"103Y09M"
10002,宜蘭縣,162601,458784,232801,225983,"103Y09M"
10003,桃園縣,730869,2054260,1030878,1023382,"103Y09M"
10004,新竹縣,178564,536111,274614,261497,"103Y09M"
10005,苗栗縣,182873,566918,292239,274679,"103Y09M"
10007,彰化縣,378352,1292126,661074,631052,"103Y09M"
10008,南投縣,176188,515081,264298,250783,"103Y09M"
10009,雲林縣,237726,706688,367643,339045,"103Y09M"
10010,嘉義縣,181256,526028,273958,252070,"103Y09M"
10013,屏東縣,283097,849326,435288,414038,"103Y09M"
10014,臺東縣,82090,224931,116730,108201,"103Y09M"
10015,花蓮縣,124106,333531,170468,163063,"103Y09M"
10016,澎湖縣,37806,101482,52239,49243,"103Y09M"
10017,基隆市,150663,373597,187900,185697,"103Y09M"
10018,新竹市,154857,431029,213443,217586,"103Y09M"
10020,嘉義市,98213,270826,132414,138412,"103Y09M"
09020,金門縣,37428,126156,63297,62859,"103Y09M"
09007,連江縣,2471,12481,7135,5346,"103Y09M"
