COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,169900,454706,229638,225068,"108Y06M"
10015,花蓮縣,126329,326986,165538,161448,"108Y06M"
09020,金門縣,40950,139281,69523,69758,"108Y06M"
10008,南投縣,178590,495283,253499,241784,"108Y06M"
10013,屏東縣,288710,821834,419526,402308,"108Y06M"
10005,苗栗縣,190098,546690,282025,264665,"108Y06M"
68000,桃園市,816222,2235005,1110132,1124873,"108Y06M"
64000,高雄市,1104650,2773177,1370833,1402344,"108Y06M"
10017,基隆市,153933,369475,184555,184920,"108Y06M"
09007,連江縣,3135,13095,7499,5596,"108Y06M"
10009,雲林縣,241342,683318,354050,329268,"108Y06M"
65000,新北市,1571557,4004598,1957935,2046663,"108Y06M"
10018,新竹市,166833,447359,220553,226806,"108Y06M"
10004,新竹縣,197610,559734,285742,273992,"108Y06M"
10020,嘉義市,100209,268435,130221,138214,"108Y06M"
10010,嘉義縣,183302,504750,262133,242617,"108Y06M"
10007,彰化縣,390815,1274724,648798,625926,"108Y06M"
66000,臺中市,979469,2810219,1382399,1427820,"108Y06M"
63000,臺北市,1058621,2657652,1266944,1390708,"108Y06M"
10014,臺東縣,83150,217721,112169,105552,"108Y06M"
67000,臺南市,692289,1882313,938707,943606,"108Y06M"
10016,澎湖縣,40947,104676,53992,50684,"108Y06M"
