COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1474545,3951381,1949191,2002190,"102Y09M"
63000,臺北市,1025984,2681584,1288195,1393389,"102Y09M"
66000,臺中市,894779,2697665,1338235,1359430,"102Y09M"
67000,臺南市,662444,1882803,944760,938043,"102Y09M"
64000,高雄市,1055340,2779246,1386293,1392953,"102Y09M"
10002,宜蘭縣,160647,458580,233097,225483,"102Y09M"
10003,桃園縣,713505,2040629,1025241,1015388,"102Y09M"
10004,新竹縣,174144,529175,271310,257865,"102Y09M"
10005,苗栗縣,180534,565107,291915,273192,"102Y09M"
10007,彰化縣,375282,1296660,663990,632670,"102Y09M"
10008,南投縣,175299,517984,265873,252111,"102Y09M"
10009,雲林縣,236470,708574,368958,339616,"102Y09M"
10010,嘉義縣,180452,530004,276127,253877,"102Y09M"
10013,屏東縣,282111,853607,437844,415763,"102Y09M"
10014,臺東縣,81634,224989,117029,107960,"102Y09M"
10015,花蓮縣,123301,334039,171196,162843,"102Y09M"
10016,澎湖縣,36524,99516,51182,48334,"102Y09M"
10017,基隆市,149609,375413,188911,186502,"102Y09M"
10018,新竹市,151681,427561,211875,215686,"102Y09M"
10020,嘉義市,97635,271106,132841,138265,"102Y09M"
09020,金門縣,36371,118924,59844,59080,"102Y09M"
09007,連江縣,2398,12041,6822,5219,"102Y09M"
