COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,170833,454178,229222,224956,"108Y12M"
10015,花蓮縣,126729,326247,165073,161174,"108Y12M"
09020,金門縣,41217,140185,70010,70175,"108Y12M"
10008,南投縣,179030,494112,252705,241407,"108Y12M"
10013,屏東縣,289861,819184,417815,401369,"108Y12M"
10005,苗栗縣,191162,545459,281290,264169,"108Y12M"
68000,桃園市,825888,2249037,1116111,1132926,"108Y12M"
64000,高雄市,1110051,2773198,1369850,1403348,"108Y12M"
10017,基隆市,154552,368893,184139,184754,"108Y12M"
09007,連江縣,3215,13089,7501,5588,"108Y12M"
10009,雲林縣,242024,681306,352821,328485,"108Y12M"
65000,新北市,1583999,4018696,1963658,2055038,"108Y12M"
10018,新竹市,168093,448803,221265,227538,"108Y12M"
10004,新竹縣,200453,563933,287837,276096,"108Y12M"
10020,嘉義市,100625,267690,129794,137896,"108Y12M"
10010,嘉義縣,183651,503113,261238,241875,"108Y12M"
10007,彰化縣,392844,1272802,647449,625353,"108Y12M"
66000,臺中市,986646,2815261,1384164,1431097,"108Y12M"
63000,臺北市,1060880,2645041,1260049,1384992,"108Y12M"
10014,臺東縣,83197,216781,111570,105211,"108Y12M"
67000,臺南市,696269,1880906,937342,943564,"108Y12M"
10016,澎湖縣,41526,105207,54283,50924,"108Y12M"
