COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1499369,3965649,1950623,2015026,"104Y03M"
63000,臺北市,1039180,2705958,1297022,1408936,"104Y03M"
68000,桃園市,737120,2072736,1038857,1033879,"104Y03M"
66000,臺中市,915732,2725497,1349271,1376226,"104Y03M"
67000,臺南市,669249,1885106,944216,940890,"104Y03M"
64000,高雄市,1066924,2779136,1382597,1396539,"104Y03M"
10002,宜蘭縣,163291,458370,232647,225723,"104Y03M"
10004,新竹縣,179934,538071,275524,262547,"104Y03M"
10005,苗栗縣,183375,566585,291916,274669,"104Y03M"
10007,彰化縣,379250,1290495,660038,630457,"104Y03M"
10008,南投縣,176393,513092,263215,249877,"104Y03M"
10009,雲林縣,237911,703407,365843,337564,"104Y03M"
10010,嘉義縣,181389,523162,272478,250684,"104Y03M"
10013,屏東縣,283395,845779,433494,412285,"104Y03M"
10014,臺東縣,82166,223831,116071,107760,"104Y03M"
10015,花蓮縣,124373,332837,169974,162863,"104Y03M"
10016,澎湖縣,38049,101856,52452,49404,"104Y03M"
10017,基隆市,150689,372969,187496,185473,"104Y03M"
10018,新竹市,155585,432456,214029,218427,"104Y03M"
10020,嘉義市,98409,270867,132320,138547,"104Y03M"
09020,金門縣,37838,128924,64625,64299,"104Y03M"
09007,連江縣,2483,12504,7136,5368,"104Y03M"
