COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,164911,458117,232217,225900,"104Y12M"
10015,花蓮縣,124956,331945,169335,162610,"104Y12M"
09020,金門縣,38588,132799,66591,66208,"104Y12M"
10008,南投縣,176988,509490,261379,248111,"104Y12M"
10013,屏東縣,284445,841253,430925,410328,"104Y12M"
10005,苗栗縣,184363,563912,290726,273186,"104Y12M"
68000,桃園市,750501,2105780,1053001,1052779,"104Y12M"
64000,高雄市,1072939,2778918,1380989,1397929,"104Y12M"
10017,基隆市,150987,372105,186942,185163,"104Y12M"
09007,連江縣,2548,12547,7171,5376,"104Y12M"
10009,雲林縣,238485,699633,363832,335801,"104Y12M"
65000,新北市,1510900,3970644,1951355,2019289,"104Y12M"
10018,新竹市,157586,434060,214795,219265,"104Y12M"
10004,新竹縣,183110,542042,277417,264625,"104Y12M"
10020,嘉義市,98702,270366,131907,138459,"104Y12M"
10010,嘉義縣,181969,519839,270681,249158,"104Y12M"
10007,彰化縣,381888,1289072,658561,630511,"104Y12M"
66000,臺中市,927901,2744445,1357014,1387431,"104Y12M"
63000,臺北市,1043948,2704810,1295462,1409348,"104Y12M"
10014,臺東縣,82326,222452,115174,107278,"104Y12M"
67000,臺南市,672325,1885541,943804,941737,"104Y12M"
10016,澎湖縣,38612,102304,52769,49535,"104Y12M"
