COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,166916,457538,231722,225816,"105Y12M"
10015,花蓮縣,125361,330911,168375,162536,"105Y12M"
09020,金門縣,39276,135114,67572,67542,"105Y12M"
10008,南投縣,177466,505163,258990,246173,"105Y12M"
10013,屏東縣,285804,835792,427747,408045,"105Y12M"
10005,苗栗縣,185915,559189,288469,270720,"105Y12M"
68000,桃園市,770894,2147763,1071564,1076199,"105Y12M"
64000,高雄市,1083002,2779371,1379043,1400328,"105Y12M"
10017,基隆市,151881,372100,186524,185576,"105Y12M"
09007,連江縣,2657,12595,7178,5417,"105Y12M"
10009,雲林縣,239481,694873,360980,333893,"105Y12M"
65000,新北市,1526812,3979208,1952341,2026867,"105Y12M"
10018,新竹市,160460,437337,216206,221131,"105Y12M"
10004,新竹縣,187439,547481,280030,267451,"105Y12M"
10020,嘉義市,98947,269874,131410,138464,"105Y12M"
10010,嘉義縣,182488,515320,268109,247211,"105Y12M"
10007,彰化縣,384700,1287146,656749,630397,"105Y12M"
66000,臺中市,944624,2767239,1366312,1400927,"105Y12M"
63000,臺北市,1047284,2695704,1289510,1406194,"105Y12M"
10014,臺東縣,82574,220802,114205,106597,"105Y12M"
67000,臺南市,678158,1886033,943082,942951,"105Y12M"
10016,澎湖縣,39244,103263,53152,50111,"105Y12M"
