COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,169707,454770,229735,225035,"108Y03M"
10015,花蓮縣,126224,327513,165931,161582,"108Y03M"
09020,金門縣,40777,139387,69545,69842,"108Y03M"
10008,南投縣,178367,496167,254046,242121,"108Y03M"
10013,屏東縣,288169,823256,420292,402964,"108Y03M"
10005,苗栗縣,189622,547692,282591,265101,"108Y03M"
68000,桃園市,811710,2228118,1107192,1120926,"108Y03M"
64000,高雄市,1102005,2773271,1371330,1401941,"108Y03M"
10017,基隆市,153709,369848,184826,185022,"108Y03M"
09007,連江縣,3109,13053,7468,5585,"108Y03M"
10009,雲林縣,241064,684241,354632,329609,"108Y03M"
65000,新北市,1566124,3998883,1955860,2043023,"108Y03M"
10018,新竹市,166210,446567,220219,226348,"108Y03M"
10004,新竹縣,196263,558020,284886,273134,"108Y03M"
10020,嘉義市,100041,268502,130297,138205,"108Y03M"
10010,嘉義縣,183245,505785,262711,243074,"108Y03M"
10007,彰化縣,390177,1276289,649791,626498,"108Y03M"
66000,臺中市,976188,2808219,1381811,1426408,"108Y03M"
63000,臺北市,1057137,2663425,1270279,1393146,"108Y03M"
10014,臺東縣,83039,218256,112448,105808,"108Y03M"
67000,臺南市,690633,1883356,939536,943820,"108Y03M"
10016,澎湖縣,40864,104574,53918,50656,"108Y03M"
