COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,168622,456068,230664,225404,"107Y03M"
10015,花蓮縣,125847,328695,166830,161865,"107Y03M"
09020,金門縣,40058,137642,68810,68832,"107Y03M"
10008,南投縣,178086,500103,256247,243856,"107Y03M"
10013,屏東縣,286969,828654,423672,404982,"107Y03M"
10005,苗栗縣,188070,552161,284981,267180,"107Y03M"
68000,桃園市,793886,2196349,1093216,1103133,"107Y03M"
64000,高雄市,1093552,2775935,1374442,1401493,"107Y03M"
10017,基隆市,152891,371119,185696,185423,"107Y03M"
09007,連江縣,2920,12923,7367,5556,"107Y03M"
10009,雲林縣,240350,689098,357359,331739,"107Y03M"
65000,新北市,1545804,3986382,1952555,2033827,"107Y03M"
10018,新竹市,163651,442315,218270,224045,"107Y03M"
10004,新竹縣,191918,552877,282458,270419,"107Y03M"
10020,嘉義市,99644,269307,130953,138354,"107Y03M"
10010,嘉義縣,182840,510018,265137,244881,"107Y03M"
10007,彰化縣,387556,1280528,652498,628030,"107Y03M"
66000,臺中市,962235,2792164,1375913,1416251,"107Y03M"
63000,臺北市,1052068,2680218,1280179,1400039,"107Y03M"
10014,臺東縣,82877,219466,113277,106189,"107Y03M"
67000,臺南市,684668,1885882,941658,944224,"107Y03M"
10016,澎湖縣,39998,104086,53642,50444,"107Y03M"
