COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,165698,457808,231992,225816,"105Y06M"
10015,花蓮縣,125005,331372,168800,162572,"105Y06M"
09020,金門縣,38898,133185,66724,66461,"105Y06M"
10008,南投縣,177089,507210,260101,247109,"105Y06M"
10013,屏東縣,285022,838584,429362,409222,"105Y06M"
10005,苗栗縣,184739,561495,289526,271969,"105Y06M"
68000,桃園市,757890,2124339,1061023,1063316,"105Y06M"
64000,高雄市,1076120,2778092,1379503,1398589,"105Y06M"
10017,基隆市,151064,371837,186587,185250,"105Y06M"
09007,連江縣,2637,12536,7171,5365,"105Y06M"
10009,雲林縣,238767,697105,362343,334762,"105Y06M"
65000,新北市,1515318,3972204,1950470,2021734,"105Y06M"
10018,新竹市,158443,435238,215235,220003,"105Y06M"
10004,新竹縣,185128,544624,278667,265957,"105Y06M"
10020,嘉義市,98602,270254,131733,138521,"105Y06M"
10010,嘉義縣,182132,517339,269265,248074,"105Y06M"
10007,彰化縣,383007,1288803,657777,631026,"105Y06M"
66000,臺中市,933760,2754191,1360893,1393298,"105Y06M"
63000,臺北市,1045175,2702925,1293639,1409286,"105Y06M"
10014,臺東縣,82460,221504,114637,106867,"105Y06M"
67000,臺南市,674233,1885388,943349,942039,"105Y06M"
10016,澎湖縣,38571,102329,52744,49585,"105Y06M"
