COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1460870,3942882,1947002,1995880,"102Y03M"
63000,臺北市,1018618,2677771,1287311,1390460,"102Y03M"
66000,臺中市,886117,2689659,1335031,1354628,"102Y03M"
67000,臺南市,657871,1882369,944967,937402,"102Y03M"
64000,高雄市,1048194,2778936,1387382,1391554,"102Y03M"
10002,宜蘭縣,159357,458599,233196,225403,"102Y03M"
10003,桃園縣,704515,2033634,1022277,1011357,"102Y03M"
10004,新竹縣,171204,525327,269408,255919,"102Y03M"
10005,苗栗縣,178918,564386,291696,272690,"102Y03M"
10007,彰化縣,372944,1299274,665540,633734,"102Y03M"
10008,南投縣,174688,519733,266958,252775,"102Y03M"
10009,雲林縣,235386,710269,370087,340182,"102Y03M"
10010,嘉義縣,179971,532541,277621,254920,"102Y03M"
10013,屏東縣,281125,857017,439859,417158,"102Y03M"
10014,臺東縣,81414,225898,117638,108260,"102Y03M"
10015,花蓮縣,122804,334872,171810,163062,"102Y03M"
10016,澎湖縣,36339,99032,50932,48100,"102Y03M"
10017,基隆市,148834,376659,189660,186999,"102Y03M"
10018,新竹市,149518,426145,211187,214958,"102Y03M"
10020,嘉義市,97154,271240,133070,138170,"102Y03M"
09020,金門縣,35680,114867,57900,56967,"102Y03M"
09007,連江縣,2354,11595,6610,4985,"102Y03M"
