COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1497018,3966818,1951739,2015079,"103Y12M"
63000,臺北市,1037402,2702315,1295636,1406679,"103Y12M"
66000,臺中市,912305,2719835,1347010,1372825,"103Y12M"
67000,臺南市,668013,1884284,944069,940215,"103Y12M"
64000,高雄市,1064667,2778992,1382998,1395994,"103Y12M"
10002,宜蘭縣,162872,458777,232814,225963,"103Y12M"
10003,桃園縣,733004,2058328,1032625,1025703,"103Y12M"
10004,新竹縣,179147,537630,275244,262386,"103Y12M"
10005,苗栗縣,183124,567132,292237,274895,"103Y12M"
10007,彰化縣,378621,1291474,660741,630733,"103Y12M"
10008,南投縣,176140,514315,263899,250416,"103Y12M"
10009,雲林縣,237726,705356,366895,338461,"103Y12M"
10010,嘉義縣,181300,524783,273324,251459,"103Y12M"
10013,屏東縣,283161,847917,434587,413330,"103Y12M"
10014,臺東縣,82074,224470,116396,108074,"103Y12M"
10015,花蓮縣,124243,333392,170324,163068,"103Y12M"
10016,澎湖縣,37917,101758,52392,49366,"103Y12M"
10017,基隆市,150492,373077,187605,185472,"103Y12M"
10018,新竹市,155139,431988,213836,218152,"103Y12M"
10020,嘉義市,98276,270883,132413,138470,"103Y12M"
09020,金門縣,37584,127723,64034,63689,"103Y12M"
09007,連江縣,2474,12506,7153,5353,"103Y12M"
