COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,165138,457854,232049,225805,"105Y03M"
10015,花蓮縣,124900,331633,169013,162620,"105Y03M"
09020,金門縣,38690,132998,66653,66345,"105Y03M"
10008,南投縣,177009,508146,260615,247531,"105Y03M"
10013,屏東縣,284627,839760,430116,409644,"105Y03M"
10005,苗栗縣,184453,562473,290017,272456,"105Y03M"
68000,桃園市,753275,2114172,1056502,1057670,"105Y03M"
64000,高雄市,1074044,2778240,1380105,1398135,"105Y03M"
10017,基隆市,150916,371882,186732,185150,"105Y03M"
09007,連江縣,2607,12530,7170,5360,"105Y03M"
10009,雲林縣,238453,698187,363058,335129,"105Y03M"
65000,新北市,1512390,3970790,1950602,2020188,"105Y03M"
10018,新竹市,157877,434492,214940,219552,"105Y03M"
10004,新竹縣,183969,543183,277939,265244,"105Y03M"
10020,嘉義市,98640,270264,131749,138515,"105Y03M"
10010,嘉義縣,181964,518507,269986,248521,"105Y03M"
10007,彰化縣,382330,1288945,658206,630739,"105Y03M"
66000,臺中市,930242,2748799,1358693,1390106,"105Y03M"
63000,臺北市,1044184,2704495,1294885,1409610,"105Y03M"
10014,臺東縣,82374,221974,114902,107072,"105Y03M"
67000,臺南市,672858,1885157,943377,941780,"105Y03M"
10016,澎湖縣,38693,102332,52773,49559,"105Y03M"
