COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1477857,3954929,1950060,2004869,"102Y12M"
63000,臺北市,1026738,2686516,1289945,1396571,"102Y12M"
66000,臺中市,897191,2701661,1339733,1361928,"102Y12M"
67000,臺南市,663131,1883208,944555,938653,"102Y12M"
64000,高雄市,1056421,2779877,1385895,1393982,"102Y12M"
10002,宜蘭縣,160883,458456,233000,225456,"102Y12M"
10003,桃園縣,716582,2044023,1026657,1017366,"102Y12M"
10004,新竹縣,174836,530486,271904,258582,"102Y12M"
10005,苗栗縣,180916,565554,292024,273530,"102Y12M"
10007,彰化縣,375940,1296013,663500,632513,"102Y12M"
10008,南投縣,175452,517222,265474,251748,"102Y12M"
10009,雲林縣,236632,707792,368457,339335,"102Y12M"
10010,嘉義縣,180652,529229,275686,253543,"102Y12M"
10013,屏東縣,282187,852286,437086,415200,"102Y12M"
10014,臺東縣,81786,224821,116883,107938,"102Y12M"
10015,花蓮縣,123440,333897,171016,162881,"102Y12M"
10016,澎湖縣,37151,100400,51711,48689,"102Y12M"
10017,基隆市,149678,374914,188649,186265,"102Y12M"
10018,新竹市,152163,428483,212183,216300,"102Y12M"
10020,嘉義市,97643,270872,132646,138226,"102Y12M"
09020,金門縣,36558,120713,60687,60026,"102Y12M"
09007,連江縣,2423,12165,6923,5242,"102Y12M"
